ticker,window,feature,importance
JPM,fold 24 train rows only (n=2016),parkinson_vol_10d,0.061129700392484665
JPM,fold 24 train rows only (n=2016),bb_width,0.05036468431353569
JPM,fold 24 train rows only (n=2016),dist_from_sma_200,0.04869617521762848
JPM,fold 24 train rows only (n=2016),parkinson_vol_20d,0.04077434167265892
JPM,fold 24 train rows only (n=2016),volume_roc,0.037821441888809204
JPM,fold 24 train rows only (n=2016),dist_from_ema_26,0.037359777837991714
JPM,fold 24 train rows only (n=2016),dist_from_sma_20,0.03607778251171112
JPM,fold 24 train rows only (n=2016),return_1d,0.03573257848620415
JPM,fold 24 train rows only (n=2016),dist_from_sma_100,0.035030297935009
JPM,fold 24 train rows only (n=2016),dist_from_sma_50,0.03424407169222832
JPM,fold 24 train rows only (n=2016),gap,0.03194103389978409
JPM,fold 24 train rows only (n=2016),volatility_10d,0.031743377447128296
JPM,fold 24 train rows only (n=2016),return_20d,0.03155004233121872
JPM,fold 24 train rows only (n=2016),roc_5,0.031018901616334915
JPM,fold 24 train rows only (n=2016),parkinson_vol_30d,0.02985864132642746
JPM,fold 24 train rows only (n=2016),daily_range,0.029138371348381042
JPM,fold 24 train rows only (n=2016),body,0.02900727093219757
JPM,fold 24 train rows only (n=2016),adx,0.028954455628991127
JPM,fold 24 train rows only (n=2016),lower_shadow,0.02890002727508545
JPM,fold 24 train rows only (n=2016),dist_from_ema_12,0.028700685128569603
JPM,fold 24 train rows only (n=2016),dist_from_ema_50,0.02781364694237709
JPM,fold 24 train rows only (n=2016),minus_di,0.02778281457722187
JPM,fold 24 train rows only (n=2016),volume_ratio,0.026987068355083466
JPM,fold 24 train rows only (n=2016),log_return_1d,0.026701660826802254
JPM,fold 24 train rows only (n=2016),rsi_14,0.025624621659517288
