index,train_start,train_end,test_start,test_end,n_train,n_test,embargo,train_start_date,train_end_date,test_start_date,test_end_date,ticker
0,0,504,704,767,504,63,200,2018-10-16,2020-10-15,2021-08-04,2021-11-01,NVDA
1,0,567,767,830,567,63,200,2018-10-16,2021-01-15,2021-11-02,2022-02-01,NVDA
2,0,630,830,893,630,63,200,2018-10-16,2021-04-19,2022-02-02,2022-05-03,NVDA
3,0,693,893,956,693,63,200,2018-10-16,2021-07-19,2022-05-04,2022-08-03,NVDA
4,0,756,956,1019,756,63,200,2018-10-16,2021-10-15,2022-08-04,2022-11-01,NVDA
5,0,819,1019,1082,819,63,200,2018-10-16,2022-01-14,2022-11-02,2023-02-02,NVDA
6,0,882,1082,1145,882,63,200,2018-10-16,2022-04-18,2023-02-03,2023-05-04,NVDA
7,0,945,1145,1208,945,63,200,2018-10-16,2022-07-19,2023-05-05,2023-08-04,NVDA
8,0,1008,1208,1271,1008,63,200,2018-10-16,2022-10-17,2023-08-07,2023-11-02,NVDA
9,0,1071,1271,1334,1071,63,200,2018-10-16,2023-01-18,2023-11-03,2024-02-05,NVDA
10,0,1134,1334,1397,1134,63,200,2018-10-16,2023-04-19,2024-02-06,2024-05-06,NVDA
11,0,1197,1397,1460,1197,63,200,2018-10-16,2023-07-20,2024-05-07,2024-08-06,NVDA
12,0,1260,1460,1523,1260,63,200,2018-10-16,2023-10-18,2024-08-07,2024-11-04,NVDA
