index,train_start,train_end,test_start,test_end,n_train,n_test,embargo,train_start_date,train_end_date,test_start_date,test_end_date,ticker
0,0,504,704,767,504,63,200,2015-10-16,2017-10-16,2018-08-03,2018-10-31,SPY
1,0,567,767,830,567,63,200,2015-10-16,2018-01-17,2018-11-01,2019-02-04,SPY
2,0,630,830,893,630,63,200,2015-10-16,2018-04-18,2019-02-05,2019-05-06,SPY
3,0,693,893,956,693,63,200,2015-10-16,2018-07-18,2019-05-07,2019-08-05,SPY
4,0,756,956,1019,756,63,200,2015-10-16,2018-10-16,2019-08-06,2019-11-01,SPY
5,0,819,1019,1082,819,63,200,2015-10-16,2019-01-17,2019-11-04,2020-02-04,SPY
6,0,882,1082,1145,882,63,200,2015-10-16,2019-04-18,2020-02-05,2020-05-05,SPY
7,0,945,1145,1208,945,63,200,2015-10-16,2019-07-19,2020-05-06,2020-08-04,SPY
8,0,1008,1208,1271,1008,63,200,2015-10-16,2019-10-17,2020-08-05,2020-11-02,SPY
9,0,1071,1271,1334,1071,63,200,2015-10-16,2020-01-17,2020-11-03,2021-02-03,SPY
10,0,1134,1334,1397,1134,63,200,2015-10-16,2020-04-20,2021-02-04,2021-05-05,SPY
11,0,1197,1397,1460,1197,63,200,2015-10-16,2020-07-20,2021-05-06,2021-08-04,SPY
12,0,1260,1460,1523,1260,63,200,2015-10-16,2020-10-16,2021-08-05,2021-11-02,SPY
13,0,1323,1523,1586,1323,63,200,2015-10-16,2021-01-19,2021-11-03,2022-02-02,SPY
14,0,1386,1586,1649,1386,63,200,2015-10-16,2021-04-20,2022-02-03,2022-05-04,SPY
15,0,1449,1649,1712,1449,63,200,2015-10-16,2021-07-20,2022-05-05,2022-08-04,SPY
16,0,1512,1712,1775,1512,63,200,2015-10-16,2021-10-18,2022-08-05,2022-11-02,SPY
17,0,1575,1775,1838,1575,63,200,2015-10-16,2022-01-18,2022-11-03,2023-02-03,SPY
18,0,1638,1838,1901,1638,63,200,2015-10-16,2022-04-19,2023-02-06,2023-05-05,SPY
19,0,1701,1901,1964,1701,63,200,2015-10-16,2022-07-20,2023-05-08,2023-08-07,SPY
20,0,1764,1964,2027,1764,63,200,2015-10-16,2022-10-18,2023-08-08,2023-11-03,SPY
21,0,1827,2027,2090,1827,63,200,2015-10-16,2023-01-19,2023-11-06,2024-02-06,SPY
22,0,1890,2090,2153,1890,63,200,2015-10-16,2023-04-20,2024-02-07,2024-05-07,SPY
23,0,1953,2153,2216,1953,63,200,2015-10-16,2023-07-21,2024-05-08,2024-08-07,SPY
24,0,2016,2216,2279,2016,63,200,2015-10-16,2023-10-19,2024-08-08,2024-11-05,SPY
0,0,504,704,767,504,63,200,2015-10-16,2017-10-16,2018-08-03,2018-10-31,AAPL
1,0,567,767,830,567,63,200,2015-10-16,2018-01-17,2018-11-01,2019-02-04,AAPL
2,0,630,830,893,630,63,200,2015-10-16,2018-04-18,2019-02-05,2019-05-06,AAPL
3,0,693,893,956,693,63,200,2015-10-16,2018-07-18,2019-05-07,2019-08-05,AAPL
4,0,756,956,1019,756,63,200,2015-10-16,2018-10-16,2019-08-06,2019-11-01,AAPL
5,0,819,1019,1082,819,63,200,2015-10-16,2019-01-17,2019-11-04,2020-02-04,AAPL
6,0,882,1082,1145,882,63,200,2015-10-16,2019-04-18,2020-02-05,2020-05-05,AAPL
7,0,945,1145,1208,945,63,200,2015-10-16,2019-07-19,2020-05-06,2020-08-04,AAPL
8,0,1008,1208,1271,1008,63,200,2015-10-16,2019-10-17,2020-08-05,2020-11-02,AAPL
9,0,1071,1271,1334,1071,63,200,2015-10-16,2020-01-17,2020-11-03,2021-02-03,AAPL
10,0,1134,1334,1397,1134,63,200,2015-10-16,2020-04-20,2021-02-04,2021-05-05,AAPL
